dimension|indicador|denominacion|orden|fte|um|universo|def_con|def_ope|cob|desagregaciones|uso_alc_lim|metas|ods
dim52|porc_lic_exc|Porcentaje de mujeres hasta 54 años que trabajan en el GCBA con licencia por maternidad que iniciaron trámite de excedencia sin goce de haberes|20|sgrh_meyf|pje|Mujeres hasta 54 años empleadas en el GCBA con licencia por maternidad|El indicador refiere a las mujeres con licencia por maternidad que extendieron  el período de licencia sin goce de haberes|Cociente entre el número de mujeres empleadas en el GCBA con trámite de excedencia y el total que tenían licencia por maternidad, de cada grupo de edad, multiplicado por cien.|2018||Los datos corresponden al período comprendido entre junio 2017 y junio 2018||
dim52|porc_lic_var|Porcentaje de varones hasta 64 años que trabajan en el GCBA e iniciaron trámite de licencia por nacimiento de hijo|30|sgrh_meyf|pje|Varones hasta 64 años empleados en el GCBA |El indicador contempla los casos de empleados que hiceron uso de la licencia por nacimiento de hijo (10-12 días) en un periodo previo a la reforma del regimen de licencias para el sector público de la Ciudad.|Cociente entre los empleados con licencia por nacimiento de hijo y el total de empleados, de cada grupo de edad, multiplicado por cien.|2018||Los datos corresponden al período comprendido entre junio 2017 y junio 2018.||
dim32|porc_magist|Porcentaje de magistrados (ministras, camaristas, juezas y juezas de paz) mujeres en el Tribunal Superior de Justicia y Consejo de la Magistratura de la Ciudad Autónoma de Buenos Aires|60|omcs_mapagen|pje|Magistrados en el Tribunal Superior de Justicia y Consejo de la Magistratura de la CABA. Incluye ministras/os, camaristas, Juezas/ces, Juezas/ces de Paz.|Porcentaje de mujeres magistrados en el ámbito de la Justicia de la Ciudad de Buenos Aires|Cociente entre el número de mujeres magistrados en la Justicia de la CABA sobre el total magistrados de la CABA, multiplicado por cien|2012/2017||La diferencia con valores de cuadros publicados anteriormente se debe a ajustes de la información realizados por la fuente.|Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5: lograr la igualdad de género y empoderar a todas las mujeres y niñas,y al 16: promover sociedades pacíficas e inclusivas para el desarrollo sostenible, proporcionar acceso a la justicia para todos y crear instituciones eficaces, responsables e inclusivas en todos los niveles. Más específicamente a la Meta 5.5: asegurar la participación plena y efectiva de las mujeres y la igualdad de oportunidades de liderazgo a todos los niveles decisorios en la vida política, económica y pública y a la Meta 16.7: garantizar la adopción en todos los niveles de decisiones inclusivas, participativas y representativas que respondan a las necesidades.|true
dim51|porc_muj_est_sal|Porcentaje de visitas a Estaciones Saludables realizadas por mujeres|50|dgds_vjg_caba|pje|Visitas a estaciones saludables del GCBA|Porcentaje de visitas realizadas por mujeres en las Estaciones Saludables para realizar controles basicos de salud en el total de visitas registradas|Cociente entre el total de visitas realizadas por mujeres a Estaciones Saludables y el total de visitas a Estaciones Saludables del mismo período, por cien.|2013 en adelante|Sexo, Grupo de edad, Lugar de residencia|||
dim24|porc_muj_fall_transit|Porcentaje de fallecidos mujeres en accidentes de tránsito en el lugar del hecho registrados por el Sistema de Atención Médica de Emergencias (SAME)|20|dgeyc_same_ecues|pje|Total de personas fallecidas en accidentes de tránsito en el lugar de hecho, en CABA|Porcentaje de mujeres fallecidas en vía pública como consecuencia de las lesiones recibidas en un hecho de tránsito, respecto del total de fallecidos en las mismas circunstancias, auxiliados y registrados por el SAME   Abarca los fallecidos al momento del hecho o durante el traslado al hospital en ambulancias del SAME. Excluye los fallecidos registrados con posterioridad a estas circunstancias y peatones atropellados por formaciones ferroviarias y subterráneos|Cociente entre el número de mujeres fallecidas en accidente de tránsito  y el total de fallecidos en mismas circunstancias ,por 100|2010/2016|||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 3. Garantizar una vida sana y promover el bienestar de todos a todas las edades. Más específicamente a la Meta 3.6 De aquí a 2020, reducir a la mitad el número de muertes y lesiones causadas por accidentes de tráfico en el mundo.|true
dim31|porc_muj_int_junt|Porcentaje de integrantes mujeres en las Juntas Comunales de la Ciudad de Buenos Aires|40|w3caba|pje|Integrantes de las Juntas Comunales de la Ciudad de Buenos Aires|Porcentaje de integrantes mujeres de Juntas Comunales de la Ciudad de Buenos Aires.|Cociente entre el número de mujeres integrantes de las Juntas Comunales de la Ciudad y el total integrantes, multiplicado por cien.|2011-2019|||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5: lograr la igualdad de género y empoderar a todas las mujeres y niñas,y al 16: promover sociedades pacíficas e inclusivas para el desarrollo sostenible, proporcionar acceso a la justicia para todos y crear instituciones eficaces, responsables e inclusivas en todos los niveles. Más específicamente a la Meta 5.5: asegurar la participación plena y efectiva de las mujeres y la igualdad de oportunidades de liderazgo a todos los niveles decisorios en la vida política, económica y pública y a la Meta 16.7: garantizar la adopción en todos los niveles de decisiones inclusivas, participativas y representativas que respondan a las necesidades.|true
dim31|porc_muj_leg|Porcentaje de Legisladoras de la Ciudad de Buenos Aires mujeres|10|legis_gcba|pje|Legisladores de la Ciudad de Buenos Aires|Porcentaje de Legisladoras de la Ciudad de Buenos Aires mujeres|Cociente entre el número de mujeres legisladoras de la Ciudad y el  total legisladores, multiplicado por cien.|2010-2019|||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5: lograr la igualdad de género y empoderar a todas las mujeres y niñas,y al 16: promover sociedades pacíficas e inclusivas para el desarrollo sostenible, proporcionar acceso a la justicia para todos y crear instituciones eficaces, responsables e inclusivas en todos los niveles. Más específicamente a la Meta 5.5: asegurar la participación plena y efectiva de las mujeres y la igualdad de oportunidades de liderazgo a todos los niveles decisorios en la vida política, económica y pública y a la Meta 16.7: garantizar la adopción en todos los niveles de decisiones inclusivas, participativas y representativas que respondan a las necesidades.|true
dim24|porc_muj_les_transit|Porcentaje de lesionados mujeres en accidentes de tránsito |10|dgeyc_hospgagu|pje|Total de personas que recibieron heridas en accidentes de tránsito en vía pública en CABA|Porcentaje de mujeres que recibieron heridas como consecuencia de un accidente de tránsito en vía pública, respecto del total de lesionados en las mismas circunstancias, atendidas en los departamentos de urgencia de los hospitales generales de agudos de la Ciudad de Buenos Aires.  Excluye  peatones atropellados por formaciones ferroviarias y subterráneos|Cociente entre el número de mujeres que recibieron heridas como consecuencua de un accidente de tránsito en vía pública y el total de lesionados en mismas circunstancias por 100|2000/2018||a partir de 2017 se consignan solamente los lesionados graves, defnidos como aquellos que permanecen internados más de 24hs.  |Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 3. Garantizar una vida sana y promover el bienestar de todos a todas las edades. Más específicamente a la Meta 3.6 De aquí a 2020, reducir a la mitad el número de muertes y lesiones causadas por accidentes de tráfico en el mundo.|true
dim21|porc_muj_mam|Porcentaje de mujeres de 50 a 70  años que se ha realizado una mamografía en los últimos 2 años|120|dgeyc_enfr|pje|Mujeres de 50 a 70 residentes en CABA|Representa al porcentaje de mujeres que manifiesta haber realizado una mamografía en los últimos dos años.  Se toma la subpoblación compuesta por mujeres de entre 50 y 70 años debido a que agencias internacionales, el Instituto Nacional del Cáncer (INC) y las sociedades científicas recomiendan la realización de mamografía en mujeres asintomáticas de este grupo etario cada dos años.|Cociente entre el total de mujeres que se realizaron una mamografía en los últimos dos años y el total de mujeres, por cien.|2005-2009-2013|||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 3. Garantizar una vida sana y promover el bienestar de todos a todas las edades. Más específicamente a la Meta 3.4 De aquí a 2030, reducir en un tercio la mortalidad prematura por enfermedades no transmisibles mediante su prevención y tratamiento, y promover la salud mental y el bienestar:|true
dim21|porc_muj_pap|Porcentaje de mujeres de 25 a 65 años que se ha realizado un Papanicolau en los últimos 2 años|130|dgeyc_enfr|pje|Mujeres de 25 a 65 añós residentes en CABA|Representa al porcentaje de mujeres que manifiesta haber realizado un estudio de Papanicolaou en los últimos dos años. |Cociente entre el total de mujeres que se realizaron un estudio de Papanicolaou en los últimos dos años y el total de mujeres, por cien.|2005-2009-2013|||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 3. Garantizar una vida sana y promover el bienestar de todos a todas las edades. Más específicamente a la Meta 3.4 De aquí a 2030, reducir en un tercio la mortalidad prematura por enfermedades no transmisibles mediante su prevención y tratamiento, y promover la salud mental y el bienestar:|true
dim32|porc_muj_pol|Porcentaje de mujeres en cuadros escalafonarios superiores y de dirección en la Policía de la Ciudad|51|pol_ciud|pje|Miembros de la Policía de la Ciudad en cuadros escalafonarios superiores  |Porcentaje de mujeres en cuadros escalafonarios superiores y de dirección de la Policia de la Ciudad. Incluye  los cuadros de Oficial Superior (Comisionado General, Superintendente y Sub Jefe) y Oficial de Dirección (Comisario Mayor, Comisario y Subcomisario). Excluye personal civil y bomberos.|Cociente entre el número de mujeres en cuadros de decisión de la Policita de la Ciudad y el total agentes en cuadros de decisión, multiplicado por cien. Excluye los casos en los que se desconoce el sexo.|2017|||Este indicador contribuye al monitoreo del  Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y niñas. y al 16, Promover sociedades pacíficas e inclusivas para el desarrollo sostenible, proporcionar acceso a la justicia para todos y crear instituciones eficaces, responsables e inclusivas en todos los niveles. Más específicamente a la Meta 5.5 Asegurar la participación plena y efectiva de las mujeres y la igualdad de oportunidades de liderazgo a todos los niveles decisorios en la vida política, económica y pública y a la Meta 16.7 Garantizar la adopción en todos los niveles de decisiones inclusivas, participativas y representativas que respondan a las necesidades.|true
dim31|porc_muj_pres_junt|Porcentaje de presidencias de las Juntas Comunales de la Ciudad de Buenos Aires ocupadas por mujeres|30|w3caba|pje|Presidentes de las Juntas Comunales de la Ciudad de Buenos Aires|Porcentaje de presidencias de las Juntas Comunales Ciudad de Buenos Aires ocupadas por mujeres|Cociente entre el número de presidentas de las Juntas Comunales de la Ciudad y el total de presidentes multiplicado por cien.|2019|||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5: lograr la igualdad de género y empoderar a todas las mujeres y niñas,y al 16: promover sociedades pacíficas e inclusivas para el desarrollo sostenible, proporcionar acceso a la justicia para todos y crear instituciones eficaces, responsables e inclusivas en todos los niveles. Más específicamente a la Meta 5.5: asegurar la participación plena y efectiva de las mujeres y la igualdad de oportunidades de liderazgo a todos los niveles decisorios en la vida política, económica y pública y a la Meta 16.7: garantizar la adopción en todos los niveles de decisiones inclusivas, participativas y representativas que respondan a las necesidades.|true
dim51|porc_muj_vi|Porcentaje de beneficiarios mujeres del Programa de Apoyo para la Vida Independiente para Personas con Discapacidad|115|dgeyc_copidis|pje|Mujeres beneficiarias del programa entre 18 y 60 años con discapacidad residente en la Ciudad de Buenos Aires|Porcentaje de mujeres de CABA entre 18 y 60 años de edad, con certificado de discapacidad beneficiarias del Programa de Apoyo para la Vida Independientes|Cociente entre el total de mujeres beneficiarias del programas y el total de beneficiarios, multiplicado por cien|2017||||
dim51|porc_vec_muj_est_sal|Porcentaje de vecinos que concurren a Estaciones Saludables que son mujeres|80|dgds_vjg_caba|pje|Vecinos que concurren a Estaciones Saludables del GCBA|Porcentaje de mujeres entre los vecinos que concurren a las Estaciones Saludables para realizar controles básicos de salud.|Cociente entre el total de vecinas que concurren a Estaciones Saludables y el total de vecinos registrados, por cien.|2013 en adelante||||
dim32|proc_muj_dirgral|Porcentaje de Direcciones Generales y cargos superiores del GCBA ocupados por mujeres|50|w3caba|pje|Puestos jerárquicos del GCBA|Porcentaje de mujeres a cargo de Dirección Generales y organismos superiores del GCBA|Cociente entre el número de mujeres a cargo de Direcciones u organismos superiores GCBA y el  total Direcciones y organismos GCBA, multiplicado por cien|2008-2019|||Este indicador contribuye al monitoreo del  Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y niñas. y al 16, Promover sociedades pacíficas e inclusivas para el desarrollo sostenible, proporcionar acceso a la justicia para todos y crear instituciones eficaces, responsables e inclusivas en todos los niveles. Más específicamente a la Meta 5.5 Asegurar la participación plena y efectiva de las mujeres y la igualdad de oportunidades de liderazgo a todos los niveles decisorios en la vida política, económica y pública y a la Meta 16.7 Garantizar la adopción en todos los niveles de decisiones inclusivas, participativas y representativas que respondan a las necesidades.|true
dim15|prom_an_esc|Promedio de años de escolarización de la población de 25 años y más|80|dgeyc_eah|annios_est|Población de 25 años y más residente en CABA|Indica el promedio de años de estudio alcanzado por la población de 25 años y más |Cociente entre la suma de los años de escolarización aprobados por la población de 25 años y más y el total de la población de ese grupo de edad; para cada sexo.|2003 en adelante|Sexo||Este indicador contribuye al monitoreo del  Objetivo de Desarrollo Sostenible 4. Garantizar una educación de calidad inclusiva y equitativa y promover oportunidades de aprendizaje permanente para todos. Más específicamente a la Meta 4.5 De aquí a 2030, eliminar las disparidades de género en la educación y asegurar el acceso igualitario a todos los niveles de la enseñanza y la formación profesional para las personas vulnerables, incluidas las personas con discapacidad, los pueblos indígenas y los niños en situaciones de vulnerabilidad|true
dim11|prom_hor_trab|Promedio de horas semanales trabajadas en la ocupación principal|110|dgeyc_eah|promhd|Población ocupada residente en la CABA|Representa la media aritmética de horas trabajadas en la ocupación principal. Las horas trabajadas refieren a horas cumplidas, incluyendo las perdidas por razones técnicas (reparaciones, mantenimiento, etc.), ajenas a la voluntad del personal, así como los cortos períodos de descanso en el lugar de trabajo. No incluye las horas correspondientes al personal suspendido, en uso de licencia, ni las perdidas por huelgas.|Cuando una persona tiene más de una ocupación, se considera principal a la ocupación que ocupe la mayor cantidad de horas semanales. Si las ocupaciones desarrolladas por el entrevistado ocupan la misma cantidad de horas semanales, se considerará principal a aquella que retribuya la mayor cantidad de ingresos. Si las ocupaciones desarrolladas ocupan la misma cantidad de horas semanales y retribuyen el mismo ingreso, se considerará principal a aquella en la que tenga mayor antigüedad.  Se excluye a la población que no trabajó la semana de referencia y a la que no tiene información en cantidad de horas semanales trabajadas.|2013 en adelante|Sexo||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 8. Promover el crecimiento económico sostenido, inclusivo y sostenible, el empleo pleno y productivo y el trabajo decente para todos. Más específicamente a la Meta 8.5 De aquí a 2030, lograr el empleo pleno y productivo y el trabajo decente para todas las mujeres y los hombres, incluidos los jóvenes y las personas con discapacidad, así como la igualdad de remuneración por trabajo de igual valor.|true
dim14|prom_t_simul_cuid|Promedio del tiempo con simultaneidad, por participante, en actividades de cuidado no remunerado a miembros del hogar. Año 2005|980|dgeyc_eut05|promhd|Población de 15 a 74 años residente en CABA. Excluye a la población residente en villas de emergencia, hoteles, inquilinatos, pensiones y casas tomadas.|Cantidad de horas diarias promedio que las personas declaran dedicar a actividades de cuidado no remunerado.|Se obtiene dividiendo el volumen de tiempo total de la población (de las mujeres y de los varones) por el total de las personas que participaron en la actividad (mujeres que participaron y varones que participaron). En el caso de la variable “nivel de instrucción alcanzado”, excluye a la población que asiste o asistió, como máximo, a otras escuelas especiales. En el caso de la variable “quintil de ingreso per cápita familiar”, excluye los casos ignorados.|2005|Sexo, Grupo de edad, Nivel de instrucción alcanzado, Quintil de ingreso||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.4 Reconocer y valorar los cuidados y el trabajo doméstico no remunerados mediante servicios públicos, infraestructuras y políticas de protección social, y promoviendo la responsabilidad compartida en el hogar y la familia, según proceda en cada país.|true
dim14|prom_t_simul_cuid_16|Promedio del tiempo con simultaneidad, por participante, en actividades de cuidado no remunerado a miembros del hogar según variables seleccionadas. Año 2016|920|dgeyc_eut16|promhd|Población de 14 años y más residente en CABA. Excluye a la población residente en villas de emergencia, hoteles, inquilinatos, pensiones y casas tomadas.|Cantidad de horas diarias promedio que las personas declaran dedicar a actividades de cuidado no remunerado.|Se obtiene dividiendo el volumen de tiempo total de la población (de las mujeres y de los varones) por el total de las personas que participaron en la actividad (mujeres que participaron y varones que participaron). En el caso de la variable “nivel de instrucción alcanzado”, excluye a la población que asiste o asistió, como máximo, a otras escuelas especiales. En el caso de la variable “quintil de ingreso per cápita familiar”, excluye los casos ignorados. Los quintiles de IPCF no representan el 20% de la población dados los importantes empates en los ingresos declarados. Se excluye la población que NSNC ingresos. El ingreso de la población que declaró ingresos por tramos fue transformado en ingreso puntual adoptando el valor mediano de los ingresos observados agrupados por tramos idénticos a los aplicados en el cuestionario.|2016|Sexo, Grandes grupos  de actividades||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.4 Reconocer y valorar los cuidados y el trabajo doméstico no remunerados mediante servicios públicos, infraestructuras y políticas de protección social, y promoviendo la responsabilidad compartida en el hogar y la familia, según proceda en cada país.|true
dim14|prom_t_simul_dom|Promedio del tiempo con simultaneidad, por participante, en actividades de trabajo doméstico no remunerado, según variables seleccionadas. Año 2005|960|dgeyc_eut05|promhd|Población de 15 a 74 años residente en CABA. Excluye a la población residente en villas de emergencia, hoteles, inquilinatos, pensiones y casas tomadas.|Cantidad de horas diarias promedio que las personas declaran dedicar a actividades de trabajo doméstico no remunerado|Se obtiene dividiendo el volumen de tiempo total de la población (de las mujeres y de los varones) por el total de las personas que participaron en la actividad (mujeres que participaron y varones que participaron). En el caso de la variable “nivel de instrucción alcanzado”, excluye a la población que asiste o asistió, como máximo, a otras escuelas especiales. En el caso de la variable “quintil de ingreso per cápita familiar”, excluye los casos ignorados.|2005|Sexo, Grupo de edad, Nivel de instrucción alcanzado, Quintil de ingreso||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.4 Reconocer y valorar los cuidados y el trabajo doméstico no remunerados mediante servicios públicos, infraestructuras y políticas de protección social, y promoviendo la responsabilidad compartida en el hogar y la familia, según proceda en cada país.|true
dim14|prom_t_simul_dom_16|Promedio del tiempo con simultaneidad, por participante, en actividades de trabajo doméstico no remunerado, según variables seleccionadas. Año 2016 |900|dgeyc_eut16|promhd|Población de 14 años y más residente en CABA. Excluye a la población residente en villas de emergencia, hoteles, inquilinatos, pensiones y casas tomadas.|Cantidad de horas diarias promedio que las personas declaran dedicar a actividades de trabajo doméstico no remunerado.|Se obtiene dividiendo el volumen de tiempo total de la población (de las mujeres y de los varones) por el total de las personas que participaron en la actividad (mujeres que participaron y varones que participaron). En el caso de la variable “nivel de instrucción alcanzado”, excluye a la población que asiste o asistió, como máximo, a otras escuelas especiales. En el caso de la variable “quintil de ingreso per cápita familiar”, excluye los casos ignorados. Los quintiles de IPCF no representan el 20% de la población dados los importantes empates en los ingresos declarados. Se excluye la población que NSNC ingresos. El ingreso de la población que declaró ingresos por tramos fue transformado en ingreso puntual adoptando el valor mediano de los ingresos observados agrupados por tramos idénticos a los aplicados en el cuestionario.|2016|Sexo, Grandes grupos  de actividades||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.4 Reconocer y valorar los cuidados y el trabajo doméstico no remunerados mediante servicios públicos, infraestructuras y políticas de protección social, y promoviendo la responsabilidad compartida en el hogar y la familia, según proceda en cada país.|true
dim14|prom_t_simul_merc|Promedio del tiempo con simultaneidad, por participante, en actividades para el mercado. Año 2005|970|dgeyc_eut05|promhd|Población de 15 a 74 años residente en CABA. Excluye a la población residente en villas de emergencia, hoteles, inquilinatos, pensiones y casas tomadas.|Cantidad de horas diarias promedio que las personas declaran dedicar a actividades para el mercado.|Se obtiene dividiendo el volumen de tiempo total de la población (de las mujeres y de los varones) por el total de las personas que participaron en la actividad (mujeres que participaron y varones que participaron). En el caso de la variable “nivel de instrucción alcanzado”, excluye a la población que asiste o asistió, como máximo, a otras escuelas especiales. En el caso de la variable “quintil de ingreso per cápita familiar”, excluye los casos ignorados.|2005|Sexo, Grupo de edad, Nivel de instrucción alcanzado, Quintil de ingreso||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.4 Reconocer y valorar los cuidados y el trabajo doméstico no remunerados mediante servicios públicos, infraestructuras y políticas de protección social, y promoviendo la responsabilidad compartida en el hogar y la familia, según proceda en cada país.|true
dim14|prom_t_simul_merc_16|Promedio del tiempo con simultaneidad, por participante, en actividades para el mercado según variables seleccionadas. Año 2016|910|dgeyc_eut16|promhd|Población de 14 años y más residente en CABA. Excluye a la población residente en villas de emergencia, hoteles, inquilinatos, pensiones y casas tomadas.|Cantidad de horas diarias promedio que las personas declaran dedicar a actividades para el mercado.|Se obtiene dividiendo el volumen de tiempo total de la población (de las mujeres y de los varones) por el total de las personas que participaron en la actividad (mujeres que participaron y varones que participaron). En el caso de la variable “nivel de instrucción alcanzado”, excluye a la población que asiste o asistió, como máximo, a otras escuelas especiales. En el caso de la variable “quintil de ingreso per cápita familiar”, excluye los casos ignorados. Los quintiles de IPCF no representan el 20% de la población dados los importantes empates en los ingresos declarados. Se excluye la población que NSNC ingresos. El ingreso de la población que declaró ingresos por tramos fue transformado en ingreso puntual adoptando el valor mediano de los ingresos observados agrupados por tramos idénticos a los aplicados en el cuestionario.|2016|Sexo, Grandes grupos  de actividades||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.4 Reconocer y valorar los cuidados y el trabajo doméstico no remunerados mediante servicios públicos, infraestructuras y políticas de protección social, y promoviendo la responsabilidad compartida en el hogar y la familia, según proceda en cada país.|true
dim14|prom_t_simul_part|Promedio del tiempo con simultaneidad, por participante, por tipo de actividad. Año 2005|950|dgeyc_eut05|promhd|Población de 15 a 74 años residente en CABA. Excluye a la población residente en villas de emergencia, hoteles, inquilinatos, pensiones y casas tomadas.|Cantidad de horas diarias promedio que las personas declaran dedicar a cada grupo de actividad.|Se obtiene dividiendo el volumen de tiempo total de la población (de las mujeres y de los varones) por el total de las personas que participaron en cada actividad (mujeres que participaron y varones que participaron).|2005|Sexo, Grupo de edad, Nivel de instrucción alcanzado, Quintil de ingreso||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.4 Reconocer y valorar los cuidados y el trabajo doméstico no remunerados mediante servicios públicos, infraestructuras y políticas de protección social, y promoviendo la responsabilidad compartida en el hogar y la familia, según proceda en cada país.|true
dim14|prom_t_simul_part_16|Promedio del tiempo con simultaneidad, por participante, por tipo de actividad. Año 2016|890|dgeyc_eut16|promhd|Población de 14 años y más residente en CABA. Excluye a la población residente en villas de emergencia, hoteles, inquilinatos, pensiones y casas tomadas.|Cantidad de horas diarias promedio que las personas declaran dedicar a cada grupo de actividad.|Se obtiene dividiendo el volumen de tiempo total de la población (de las mujeres y de los varones) por el total de las personas que participaron en cada actividad (mujeres que participaron y varones que participaron).|2016|Sexo, Grandes grupos  de actividades||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.4 Reconocer y valorar los cuidados y el trabajo doméstico no remunerados mediante servicios públicos, infraestructuras y políticas de protección social, y promoviendo la responsabilidad compartida en el hogar y la familia, según proceda en cada país.|true
dim11|reg_ten_porc|Régimen de tenencia de la vivienda de los hogares por sexo del jefe (en porcentaje)|30|dgeyc_eah|pje|Hogares residentes en la CABA|Refiere al conjunto de normas jurídico-legales o de hecho en virtud de los cuales el hogar ocupa toda o parte de una vivienda.|Cociente entre los hogares incluidos en cada una de las categorías de la variable Régimen de tenencia de la vivienda y el total de hogares, por cien; para cada sexo del jefe.|2011 en adelante|Sexo del jefe||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 11. Hacer que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles. Más específicamente a la Meta 11.1 De aquí a 2030, asegurar el acceso de todas las personas a viviendas y servicios básicos adecuados, seguros y asequibles y mejorar los barrios marginales|true
dim11|tas_act|Tasa de actividad|50|dgeyc_eah|pje|Población residente en la CABA|Indica qué parte de la población de 10 años y más se encuentra participando activamente (ocupados y desocupados) en el mercado de trabajo y permite separarla en dos subconjuntos: la población económicamente activa y la población inactiva.|Cociente entre la población económicamente Activa y la población total, por cien; para cada uno de los sexos.|2003 en adelante|Sexo|||
dim15|tas_asis_esc_cen|Tasa de asistencia escolar de la población de 5 a 17 años (censal)|20|indec_censo|pje|Población de 5 a 17 años residente en CABA|Porcentaje de población de cada edad que asiste a algún establecimiento de educación formal, independientemente del nivel que cursa, respecto del total de población de esa edad.|Cociente entre la población de una edad determinada, escolarizada en el sistema educativo en cualquier nivel de enseñanza, con respecto al total de la población de esa edad, por cien.|1980 - 1991 - 2001 - 2010 |Sexo, Edad||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 4. Garantizar una educación inclusiva y equitativa de calidad y promover oportunidades de aprendizaje permanante para todos. Más específicamente a la Meta 4.1 De aquí a 2030, asegurar que todas las niñas y todos los niños terminen la enseñanza primaria y secundaria, que ha de ser gratuita, equitativa y de calidad y producir resultados de aprendizaje pertinentes y efectivos.|true
dim15|tas_asis_esc_eah|Tasa de asistencia escolar de la población de 5 a 17 años|30|dgeyc_eah|pje|Población de 5 a 17 años residente en CABA|Es el porcentaje de población escolarizada en el sistema educativo de cada grupo de edad, respecto del total de la población de cada uno de ellos|Cociente entre las personas pertenecientes a un grupo de edad, escolarizadas en el sistema educativo en cualquier nivel de enseñanza, con respecto al total de la población de ese grupo de edad, por cien. |2002 en adelante|Sexo||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 4. Garantizar una educación inclusiva y equitativa de calidad y promover oportunidades de aprendizaje permanante para todos. Más específicamente a la Meta 4.1 De aquí a 2030, asegurar que todas las niñas y todos los niños terminen la enseñanza primaria y secundaria, que ha de ser gratuita, equitativa y de calidad y producir resultados de aprendizaje pertinentes y efectivos.|true
dim21|tas_brut_repr|Tasa bruta de reproducción |20|dgeyc_ev_proy|haxmuj|Mujeres de 15 a 49 años residentes en CABA|Número  de  hijas que en promedio tendría cada mujer de una cohorte hipotética de mujeres que durante el período fértil tuvieran sus hijos de acuerdo a las tasas de fecundidad por edad de la población en estudio y no estuvieran expuestas a riesgos de mortalidad desde  el nacimiento hasta el término del período fértil. |Producto entre  la tasa globlal de fecundidad y un coeficiente que expresa la proporción de niñas en el total de nacimientos.|1970 en adelante||||
dim11|tas_des|Tasa de desocupación|70|dgeyc_eah|pje|Población económicamente activa residente ene la CABA|Muestra el nivel de desocupación en relación a la población económicamente activa. En otras palabras, es la parte de la población que estando sin trabajo, se encuentra buscando activamente y en disponibilidad de trabajar. La definición corresponde a la desocupación abierta.|Cociente entre la población desocupada y la población económicamente activa, por cien; para cada uno de los sexos.|2003 en adelante|Sexo||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 8. Promover el crecimiento económico sostenido, inclusivo y sostenible, el empleo pleno y productivo y el trabajo decente para todos. Más específicamente a la Meta 8.5 De aquí a 2030, lograr el empleo pleno y productivo y el trabajo decente para todas las mujeres y los hombres, incluidos los jóvenes y las personas con discapacidad, así como la igualdad de remuneración por trabajo de igual valor.|true
dim11|tas_emp|Tasa de empleo|60|dgeyc_eah|pje|Población de 10 años y más residente en la CABA|Expresa la parte de la población que tiene por lo menos una ocupación, es decir que en la semana de referencia ha trabajado como mínimo una hora (en una actividad con valor económico en el mercado) en relación con la población total.|Cociente entre la población ocupada y la población total, por cien; para cada uno de los sexos.|2003 en adelante|Sexo|||
